model,roc_auc,precision,recall,f1_score,brier_score,true_positive,false_positive,true_negative,false_negative,threshold
logistic_regression,0.8122463828953627,0.4405594405594406,0.4883720930232558,0.4632352941176471,0.09307185986196558,63,80,751,66,0.3
random_forest,0.8024608438511553,0.4953271028037383,0.4108527131782946,0.4491525423728813,0.09645058872018125,53,54,777,76,0.3
gradient_boosting,0.7957723486226551,0.5274725274725275,0.37209302325581395,0.4363636363636364,0.09796520731964899,48,43,788,81,0.3
decision_tree,0.778374798272372,0.3888888888888889,0.43410852713178294,0.41025641025641024,0.10138059186603637,56,88,743,73,0.3
